,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0,300000,ORIENTAL BL/MACKENZIE ST,,40.578251,-73.939743,,,0,
1,300002,ORIENTAL BL/JAFFRAY ST,,40.578068,-73.943031,,,0,
2,300003,ORIENTAL BL/HASTINGS ST,,40.577961,-73.944664,,,0,
3,300004,ORIENTAL BL/FALMOUTH ST,,40.577721000000004,-73.946205,,,0,
4,300006,ORIENTAL BL/DOVER ST,,40.577354,-73.949554,,,0,
5,300007,ORIENTAL BL/BEAUMONT ST,,40.577148,-73.951385,,,0,
6,300008,ORIENTAL BL/WEST END AV,,40.577003000000005,-73.952721,,,0,
7,300009,BRIGHTON BEACH AV/CORBIN PL,,40.577461,-73.95440699999999,,,0,
8,300010,BRIGHTON BEACH AV/BRIGHTON 14 ST,,40.577957,-73.956383,,,0,
9,300011,BRIGHTON BEACH AV/BRIGHTON 12 ST,,40.578369,-73.958176,,,0,
10,300012,BRIGHTON BEACH AV/CONEY ISLAND AV,,40.5779,-73.960205,,,0,
11,300013,BRIGHTON BEACH AV/BRIGHTON 5 ST,,40.577404,-73.962837,,,0,
12,300014,BRIGHTON BEACH AV/BRIGHTON 3 ST,,40.577034000000005,-73.9646,,,0,
13,300016,BRIGHTON BEACH AV/OCEAN PY,,40.576423999999996,-73.967438,,,0,
14,300017,OCEAN PY/OCEAN VIEW AV,,40.578739,-73.96785,,,0,
15,300018,OCEAN PY/NEPTUNE AV,,40.580219,-73.967567,,,0,
16,300019,OCEAN PY/WEST AV,,40.581417,-73.96727800000001,,,0,
17,300020,OCEAN PY/SHORE PY,,40.585468,-73.96624,,,0,
18,300022,AV X/E 2 ST,,40.590771000000004,-73.968781,,,0,
19,300023,AV X/WEST ST,,40.590565000000005,-73.97062700000001,,,0,
20,300024,AV X/W 2 ST,,40.590343,-73.97261,,,0,
21,300025,AV X/MC DONALD AV,,40.590191,-73.97399899999999,,,0,
22,300026,86 ST/VAN SICKLEN ST,,40.591331,-73.976112,,,0,
23,300028,86 ST/W 9 ST,,40.593826,-73.98024000000001,,,0,
24,300029,86 ST/W 11 ST,,40.595116,-73.982376,,,0,
25,300030,86 ST/AV U,,40.595741,-73.983414,,,0,
26,300031,86 ST/STILLWELL AV,,40.596752,-73.98524499999999,,,0,
27,300032,86 ST/25 AV,,40.597874,-73.987053,,,0,
28,300033,86 ST/24 AV,,40.599205,-73.989227,,,0,
29,300034,86 ST/23 AV,,40.600525,-73.991425,,,0,
30,300035,86 ST/BAY PY,,40.601879,-73.99363699999999,,,0,
31,300036,86 ST/21 AV,,40.603241,-73.995903,,,0,
32,300037,86 ST/20 AV,,40.604568,-73.99809300000001,,,0,
33,300038,86 ST/19 AV,,40.6059,-74.000298,,,0,
34,300039,86 ST/NEW UTRECHT AV,,40.606289000000004,-74.000862,,,0,
35,300040,86 ST/18 AV,,40.607723,-74.003258,,,0,
36,300041,86 ST/17 AV,,40.608868,-74.005119,,,0,
37,300043,86 ST/15 AV,,40.611706,-74.009827,,,0,
38,300044,86 ST/14 AV,,40.61322,-74.012413,,,0,
39,300045,86 ST/13 AV,,40.614063,-74.013725,,,0,
40,300046,13 AV/84 ST,,40.615395,-74.012421,,,0,
41,300047,13 AV/82 ST,,40.616543,-74.011238,,,0,
42,300048,13 AV/79 ST,,40.618206,-74.009499,,,0,
43,300049,13 AV/77 ST,,40.619308000000004,-74.008354,,,0,
44,300050,13 AV/BAY RIDGE PY,,40.620533,-74.007088,,,0,
45,300051,13 AV/73 ST,,40.621658000000004,-74.005905,,,0,
46,300052,13 AV/71 ST,,40.622761,-74.004768,,,0,
47,300053,BAY RIDGE AV/13 AV,,40.624096,-74.004425,,,0,
48,300054,BAY RIDGE AV/12 AV,,40.625259,-74.00636300000001,,,0,
49,300055,BAY RIDGE AV/11 AV,,40.626598,-74.00859100000001,,,0,
50,300056,BAY RIDGE AV/10 AV,,40.627891999999996,-74.010719,,,0,
51,300057,BAY RIDGE AV/FT HAMILTON PY,,40.628929,-74.012436,,,0,
52,300060,OVINGTON AV/6 AV,,40.631428,-74.018738,,,0,
53,300061,BAY RIDGE AV/6 AV,,40.632553,-74.018875,,,0,
54,300062,BAY RIDGE AV/5 AV,,40.633457,-74.020866,,,0,
55,300063,BAY RIDGE AV/4 AV,,40.634838,-74.023872,,,0,
56,300064,BAY RIDGE AV/3 AV,,40.635937,-74.026505,,,0,
57,300065,BAY RIDGE AV/RIDGE BL,,40.636711,-74.029007,,,0,
58,300066,BAY RIDGE AV/COLONIAL RD,,40.637516,-74.031609,,,0,
59,300067,NARROWS AV/BAY RIDGE AV,,40.637878,-74.034088,,,0,
60,300068,NARROWS AV/MACKAY PL,,40.636581,-74.034622,,,0,
61,300071,BAY RIDGE AV/SHORE RD,,40.638569,-74.03537,,,0,
62,300073,BAY RIDGE AV/COLONIAL RD,,40.637192,-74.030922,,,0,
63,300074,BAY RIDGE AV/RIDGE BL,,40.636379,-74.028313,,,0,
64,300075,BAY RIDGE AV/3 AV,,40.635436999999996,-74.025513,,,0,
65,300076,BAY RIDGE AV/4 AV,,40.634411,-74.023209,,,0,
66,300077,BAY RIDGE AV/5 AV,,40.633495,-74.02121,,,0,
67,300078,BAY RIDGE AV/6 AV,,40.63216,-74.018333,,,0,
68,300079,BAY RIDGE AV/7 AV,,40.631622,-74.01711999999999,,,0,
69,300080,BAY RIDGE AV/7 AV,,40.630779,-74.015732,,,0,
70,300082,BAY RIDGE AV/FT HAMILTON PY,,40.628414,-74.011818,,,0,
71,300084,BAY RIDGE AV/11 AV,,40.626114,-74.008011,,,0,
72,300085,BAY RIDGE AV/12 AV,,40.624783,-74.005806,,,0,
73,300086,BAY RIDGE AV/13 AV,,40.62373,-74.004059,,,0,
74,300087,13 AV/71 ST,,40.622353000000004,-74.005402,,,0,
75,300088,13 AV/73 ST,,40.621231,-74.00657700000001,,,0,
76,300089,13 AV/BAY RIDGE PY,,40.620064,-74.00778199999999,,,0,
77,300090,13 AV/77 ST,,40.618935,-74.008957,,,0,
78,300091,13 AV/79 ST,,40.617802000000005,-74.010139,,,0,
79,300092,13 AV/82 ST,,40.616153999999995,-74.01185600000001,,,0,
80,300093,13 AV/85 ST,,40.614506,-74.013565,,,0,
81,300094,86 ST/13 AV,,40.613803999999995,-74.013664,,,0,
82,300095,86 ST/14 AV,,40.612728000000004,-74.011826,,,0,
83,300096,86 ST/15 AV,,40.611115000000005,-74.009224,,,0,
84,300097,86 ST/16 AV,,40.610088,-74.007515,,,0,
85,300098,86 ST/17 AV,,40.60833,-74.004601,,,0,
86,300099,86 ST/18 AV,,40.606983,-74.00238,,,0,
87,300100,86 ST/19 AV,,40.605961,-74.00061,,,0,
88,300101,86 ST/20 AV,,40.60461,-73.998367,,,0,
89,300102,86 ST/21 AV,,40.603328999999995,-73.996239,,,0,
90,300103,86 ST/BAY PY,,40.601986,-73.994003,,,0,
91,300104,86 ST/23 AV,,40.600615999999995,-73.991745,,,0,
92,300105,86 ST/24 AV,,40.599308,-73.98957800000001,,,0,
93,300106,86 ST/25 AV,,40.597954,-73.987335,,,0,
94,300107,86 ST/AV U,,40.595562,-73.98349,,,0,
95,300109,86 ST/AV V,,40.593719,-73.98043100000001,,,0,
96,300110,86 ST/W 8 ST,,40.592785,-73.978889,,,0,
97,300111,86 ST/AV W,,40.591682,-73.977051,,,0,
98,300113,AV X/W 1 ST,,40.590412,-73.97081,,,0,
99,300114,AV X/E 1 ST,,40.590626,-73.968887,,,0,
100,300115,AV X/E 3 ST,,40.590816,-73.967102,,,0,
101,300116,AV X/OCEAN PY,,40.590996000000004,-73.965546,,,0,
102,300117,OCEAN PKY/SHORE PKY,,40.584782000000004,-73.966957,,,0,
103,300118,OCEAN PY/WEST AV,,40.581615,-73.9674,,,0,
104,300119,OCEAN PY/NEPTUNE AV,,40.580509,-73.967697,,,0,
